gene1	gene2	pValue	oddsRatio	00	01	11	10	pAdj	Event	pair	event_ratio
MAP2K1	ARID2	0.14595905616515747	0.22157410606226535	282	58	1	22	0.5212823434469914	Mutually_Exclusive	ARID2, MAP2K1	1/80
PIK3CA	GNAQ	0.14823938790336616	3.4747235145288586	332	10	2	19	0.5234441663254457	Co_Occurence	GNAQ, PIK3CA	2/29
RAC1	MAP2K2	0.15568262934589627	3.408217582858593	329	8	2	24	0.5365101182795633	Co_Occurence	MAP2K2, RAC1	2/32
RB1	RASA2	0.15707959847160025	2.52264727866471	319	27	3	14	0.5365101182795633	Co_Occurence	RASA2, RB1	3/41
CDKN2A	APC	0.1590021632673349	1.6717383370361738	264	44	12	43	0.5365101182795633	Co_Occurence	APC, CDKN2A	12/87
BRAF	CTNNB1	0.16042113276050943	1.8306683019522012	166	9	17	171	0.5365101182795633	Co_Occurence	BRAF, CTNNB1	17/180
CTNNB1	ARID2	0.16224065976773994	2.0145419998013034	285	52	7	19	0.5365101182795633	Co_Occurence	ARID2, CTNNB1	7/71
RAC1	ARID2	0.16224065976773994	2.0145419998013034	285	52	7	19	0.5365101182795633	Co_Occurence	ARID2, RAC1	7/71
MAP2K1	GNAQ	0.17212299157407707	3.1271823141328414	330	10	2	21	0.5632296844701482	Co_Occurence	GNAQ, MAP2K1	2/31
GNA11	NF1	0.17807252241602836	2.1685404977448726	287	60	5	11	0.5751303232402244	Co_Occurence	GNA11, NF1	5/71
CDK4	MDM2	0.17944066085094995	6.553341781862152	345	4	1	13	0.5751303232402244	Co_Occurence	CDK4, MDM2	1/17
BRAF	PIK3CA	0.18234334337888808	1.9276431582946831	168	7	14	174	0.5785004548822592	Co_Occurence	BRAF, PIK3CA	14/181
CDK4	PIK3CA	0.19071066370731374	2.8817380892542426	330	19	2	12	0.5980155883395598	Co_Occurence	CDK4, PIK3CA	2/31
CTNNB1	NRAS	0.19353410873210838	0.49887456091914706	228	109	5	21	0.5980155883395598	Mutually_Exclusive	CTNNB1, NRAS	5/130
CCND1	SNX31	0.19423546309268902	6.244189097978869	341	18	1	3	0.5980155883395598	Co_Occurence	CCND1, SNX31	1/21
MAP2K2	RASA2	0.19633492916240913	2.8888235114202105	325	28	2	8	0.598582101104906	Co_Occurence	MAP2K2, RASA2	2/36
BRAF	ARID2	0.20334447308289982	0.6913246613881862	142	33	26	162	0.613962781047403	Mutually_Exclusive	ARID2, BRAF	26/195
MAP2K2	BRAF	0.20642006806360613	0.39015629455979073	168	185	3	7	0.6172848925347075	Mutually_Exclusive	BRAF, MAP2K2	3/192
MDM2	TP53	0.208798649548397	3.2315413182381665	297	61	2	3	0.6184794121694227	Co_Occurence	MDM2, TP53	2/64
RB1	BRAF	0.21490080026822148	0.49245767189061046	164	182	6	11	0.6305774655757672	Mutually_Exclusive	BRAF, RB1	6/193
KIT	CTNNB1	0.22144472159389017	2.0619981685058444	317	23	3	20	0.6378016174939237	Co_Occurence	CTNNB1, KIT	3/43
KIT	RAC1	0.22144472159389017	2.0619981685058444	317	23	3	20	0.6378016174939237	Co_Occurence	KIT, RAC1	3/43
KIT	CDKN2A	0.22499271965118642	0.2413379445114473	286	54	1	22	0.6379673915223125	Mutually_Exclusive	CDKN2A, KIT	1/76
PPP6C	PREX2	0.22558526964228953	1.8106454806045171	258	80	9	16	0.6379673915223125	Co_Occurence	PPP6C, PREX2	9/96
PIK3CA	GNA11	0.23476580171174324	2.457376803466763	328	14	2	19	0.639994406711896	Co_Occurence	GNA11, PIK3CA	2/33
KIT	ARID2	0.23662272476051646	1.9072203083293766	287	53	6	17	0.639994406711896	Co_Occurence	ARID2, KIT	6/70
CTNNB1	PREX2	0.23761225422307	1.6979681880379367	257	80	9	17	0.639994406711896	Co_Occurence	CTNNB1, PREX2	9/97
GNAQ	MITF	0.23784666313571545	4.431152652170856	344	7	1	11	0.639994406711896	Co_Occurence	GNAQ, MITF	1/18
NF1	NRAS	0.23814307337576396	0.667098067021848	200	98	16	49	0.639994406711896	Mutually_Exclusive	NF1, NRAS	16/147
MAP2K2	PTEN	0.2385899148221948	2.4988871846073457	321	32	2	8	0.639994406711896	Co_Occurence	MAP2K2, PTEN	2/40
APC	ARID2	0.24359440709558083	1.5068286146631291	260	47	12	44	0.6478574656797362	Co_Occurence	APC, ARID2	12/91
