gene1	gene2	pValue	oddsRatio	00	01	11	10	pAdj	Event	pair	event_ratio
MAP2K2	APC	1	0	69	5	0	3	1	Mutually_Exclusive	APC, MAP2K2	0/8
PPP6C	MAP2K1	1	0	67	5	0	5	1	Mutually_Exclusive	MAP2K1, PPP6C	0/10
CDKN2A	MAP2K1	1	0	68	5	0	4	1	Mutually_Exclusive	CDKN2A, MAP2K1	0/9
CTNNB1	MAP2K1	1	0	68	5	0	4	1	Mutually_Exclusive	CTNNB1, MAP2K1	0/9
RASA2	MAP2K1	1	0	68	5	0	4	1	Mutually_Exclusive	MAP2K1, RASA2	0/9
MAP2K2	MAP2K1	1	0	69	5	0	3	1	Mutually_Exclusive	MAP2K1, MAP2K2	0/8
RAC1	MAP2K1	1	0	69	5	0	3	1	Mutually_Exclusive	MAP2K1, RAC1	0/8
CDKN2A	PPP6C	1	0	68	5	0	4	1	Mutually_Exclusive	CDKN2A, PPP6C	0/9
CTNNB1	PPP6C	1	0	68	5	0	4	1	Mutually_Exclusive	CTNNB1, PPP6C	0/9
RASA2	PPP6C	1	0	68	5	0	4	1	Mutually_Exclusive	PPP6C, RASA2	0/9
RB1	PPP6C	1	0	68	5	0	4	1	Mutually_Exclusive	PPP6C, RB1	0/9
GNAQ	PPP6C	1	0	69	5	0	3	1	Mutually_Exclusive	GNAQ, PPP6C	0/8
RAC1	PPP6C	1	0	69	5	0	3	1	Mutually_Exclusive	PPP6C, RAC1	0/8
CTNNB1	CDKN2A	1	0	69	4	0	4	1	Mutually_Exclusive	CDKN2A, CTNNB1	0/8
RASA2	CDKN2A	1	0	69	4	0	4	1	Mutually_Exclusive	CDKN2A, RASA2	0/8
RB1	CDKN2A	1	0	69	4	0	4	1	Mutually_Exclusive	CDKN2A, RB1	0/8
GNAQ	CDKN2A	1	0	70	4	0	3	1	Mutually_Exclusive	CDKN2A, GNAQ	0/7
MAP2K2	CDKN2A	1	0	70	4	0	3	1	Mutually_Exclusive	CDKN2A, MAP2K2	0/7
CDK4	CDKN2A	1	0	72	4	0	1	1	Mutually_Exclusive	CDK4, CDKN2A	0/5
GNA11	CDKN2A	1	0	72	4	0	1	1	Mutually_Exclusive	CDKN2A, GNA11	0/5
MITF	CDKN2A	1	0	72	4	0	1	1	Mutually_Exclusive	CDKN2A, MITF	0/5
PIK3CA	CDKN2A	1	0	72	4	0	1	1	Mutually_Exclusive	CDKN2A, PIK3CA	0/5
SNX31	CDKN2A	1	0	72	4	0	1	1	Mutually_Exclusive	CDKN2A, SNX31	0/5
RASA2	CTNNB1	1	0	69	4	0	4	1	Mutually_Exclusive	CTNNB1, RASA2	0/8
RB1	CTNNB1	1	0	69	4	0	4	1	Mutually_Exclusive	CTNNB1, RB1	0/8
GNAQ	CTNNB1	1	0	70	4	0	3	1	Mutually_Exclusive	CTNNB1, GNAQ	0/7
MAP2K2	CTNNB1	1	0	70	4	0	3	1	Mutually_Exclusive	CTNNB1, MAP2K2	0/7
RAC1	CTNNB1	1	0	70	4	0	3	1	Mutually_Exclusive	CTNNB1, RAC1	0/7
CDK4	CTNNB1	1	0	72	4	0	1	1	Mutually_Exclusive	CDK4, CTNNB1	0/5
GNA11	CTNNB1	1	0	72	4	0	1	1	Mutually_Exclusive	CTNNB1, GNA11	0/5
PIK3CA	CTNNB1	1	0	72	4	0	1	1	Mutually_Exclusive	CTNNB1, PIK3CA	0/5
SNX31	CTNNB1	1	0	72	4	0	1	1	Mutually_Exclusive	CTNNB1, SNX31	0/5
RB1	RASA2	1	0	69	4	0	4	1	Mutually_Exclusive	RASA2, RB1	0/8
GNAQ	RASA2	1	0	70	4	0	3	1	Mutually_Exclusive	GNAQ, RASA2	0/7
MAP2K2	RASA2	1	0	70	4	0	3	1	Mutually_Exclusive	MAP2K2, RASA2	0/7
RAC1	RASA2	1	0	70	4	0	3	1	Mutually_Exclusive	RAC1, RASA2	0/7
CDK4	RASA2	1	0	72	4	0	1	1	Mutually_Exclusive	CDK4, RASA2	0/5
GNA11	RASA2	1	0	72	4	0	1	1	Mutually_Exclusive	GNA11, RASA2	0/5
MITF	RASA2	1	0	72	4	0	1	1	Mutually_Exclusive	MITF, RASA2	0/5
PIK3CA	RASA2	1	0	72	4	0	1	1	Mutually_Exclusive	PIK3CA, RASA2	0/5
SNX31	RASA2	1	0	72	4	0	1	1	Mutually_Exclusive	RASA2, SNX31	0/5
GNAQ	RB1	1	0	70	4	0	3	1	Mutually_Exclusive	GNAQ, RB1	0/7
MAP2K2	RB1	1	0	70	4	0	3	1	Mutually_Exclusive	MAP2K2, RB1	0/7
RAC1	RB1	1	0	70	4	0	3	1	Mutually_Exclusive	RAC1, RB1	0/7
CDK4	RB1	1	0	72	4	0	1	1	Mutually_Exclusive	CDK4, RB1	0/5
GNA11	RB1	1	0	72	4	0	1	1	Mutually_Exclusive	GNA11, RB1	0/5
MITF	RB1	1	0	72	4	0	1	1	Mutually_Exclusive	MITF, RB1	0/5
PIK3CA	RB1	1	0	72	4	0	1	1	Mutually_Exclusive	PIK3CA, RB1	0/5
SNX31	RB1	1	0	72	4	0	1	1	Mutually_Exclusive	RB1, SNX31	0/5
MAP2K2	GNAQ	1	0	71	3	0	3	1	Mutually_Exclusive	GNAQ, MAP2K2	0/6
RAC1	GNAQ	1	0	71	3	0	3	1	Mutually_Exclusive	GNAQ, RAC1	0/6
CDK4	GNAQ	1	0	73	3	0	1	1	Mutually_Exclusive	CDK4, GNAQ	0/4
GNA11	GNAQ	1	0	73	3	0	1	1	Mutually_Exclusive	GNA11, GNAQ	0/4
MITF	GNAQ	1	0	73	3	0	1	1	Mutually_Exclusive	GNAQ, MITF	0/4
PIK3CA	GNAQ	1	0	73	3	0	1	1	Mutually_Exclusive	GNAQ, PIK3CA	0/4
SNX31	GNAQ	1	0	73	3	0	1	1	Mutually_Exclusive	GNAQ, SNX31	0/4
RAC1	MAP2K2	1	0	71	3	0	3	1	Mutually_Exclusive	MAP2K2, RAC1	0/6
CDK4	MAP2K2	1	0	73	3	0	1	1	Mutually_Exclusive	CDK4, MAP2K2	0/4
GNA11	MAP2K2	1	0	73	3	0	1	1	Mutually_Exclusive	GNA11, MAP2K2	0/4
MITF	MAP2K2	1	0	73	3	0	1	1	Mutually_Exclusive	MAP2K2, MITF	0/4
PIK3CA	MAP2K2	1	0	73	3	0	1	1	Mutually_Exclusive	MAP2K2, PIK3CA	0/4
SNX31	MAP2K2	1	0	73	3	0	1	1	Mutually_Exclusive	MAP2K2, SNX31	0/4
CDK4	RAC1	1	0	73	3	0	1	1	Mutually_Exclusive	CDK4, RAC1	0/4
